n,m,p,it,diff,ns
9,18,0.6,50,0,5103884
9,18,0.6,50,0,5132031
9,18,0.6,50,0,5113313
9,18,0.6,50,0,5243496
9,18,0.6,50,0,5134824
9,18,0.6,50,0,5047453
9,18,0.6,50,0,5172958
9,18,0.6,50,0,4970140
10,0,0.6,50,0,397044
10,0,0.6,50,0,327623
10,0,0.6,50,0,332511
10,0,0.6,50,0,332232
10,0,0.6,50,0,332232
10,0,0.6,50,0,335235
10,0,0.6,50,0,332721
10,0,0.6,50,0,332511
10,0,0.6,50,0,332861
10,0,0.6,50,0,329927
10,1,0.6,50,0,404517
10,1,0.6,50,0,355140
10,1,0.6,50,0,358422
10,1,0.6,50,0,353743
10,1,0.6,50,0,350251
10,1,0.6,50,0,358842
10,1,0.6,50,0,355209
10,1,0.6,50,0,366314
10,1,0.6,50,0,360797
10,1,0.6,50,0,356955
10,2,0.6,50,0,458714
10,2,0.6,50,0,395508
10,2,0.6,50,0,396415
10,2,0.6,50,0,393202
10,2,0.6,50,0,395438
10,2,0.6,50,0,395508
10,2,0.6,50,0,393831
10,2,0.6,50,0,399628
10,2,0.6,50,0,392993
10,2,0.6,50,0,394460
10,3,0.6,50,0,595810
10,3,0.6,50,0,508091
10,3,0.6,50,0,507602
10,3,0.6,50,0,505297
10,3,0.6,50,0,507392
10,3,0.6,50,0,513399
10,3,0.6,50,0,505367
10,3,0.6,50,0,503830
10,3,0.6,50,0,505436
10,3,0.6,50,0,505716
10,4,0.6,50,0,569970
10,4,0.6,50,0,503482
10,4,0.6,50,0,503481
10,4,0.6,50,0,511444
10,4,0.6,50,0,501596
10,4,0.6,50,0,501246
10,4,0.6,50,0,500967
10,4,0.6,50,0,503621
10,4,0.6,50,0,502923
10,4,0.6,50,0,499500
10,5,0.6,50,0,658528
10,5,0.6,50,0,531627
10,5,0.6,50,0,545944
10,5,0.6,50,0,563405
10,5,0.6,50,0,560471
10,5,0.6,50,0,532256
10,5,0.6,50,0,556769
10,5,0.6,50,0,529741
10,5,0.6,50,0,565500
10,5,0.6,50,0,560751
10,6,0.6,50,0,1196021
10,6,0.6,50,0,1147482
10,6,0.6,50,0,1174022
10,6,0.6,50,0,1147691
10,6,0.6,50,0,1149019
10,6,0.6,50,0,1125691
10,6,0.6,50,0,1167946
10,6,0.6,50,0,1145875
10,6,0.6,50,0,1145875
10,6,0.6,50,0,1152650
10,7,0.6,50,0,819091
10,7,0.6,50,0,747714
10,7,0.6,50,0,764755
10,7,0.6,50,0,765383
10,7,0.6,50,0,797859
10,7,0.6,50,0,763358
10,7,0.6,50,0,794228
10,7,0.6,50,0,766292
10,7,0.6,50,0,737238
10,7,0.6,50,0,793110
10,8,0.6,50,0,2245517
10,8,0.6,50,0,2112400
10,8,0.6,50,0,2138870
10,8,0.6,50,0,2173581
10,8,0.6,50,0,2125670
10,8,0.6,50,0,2112051
10,8,0.6,50,0,2137682
10,8,0.6,50,0,2173651
10,8,0.6,50,0,2125460
10,8,0.6,50,0,2172323
10,9,0.6,50,0,1556609
10,9,0.6,50,0,1936471
10,9,0.6,50,0,2135797
10,9,0.6,50,0,2141873
10,9,0.6,50,0,1837089
10,9,0.6,50,0,2099829
10,9,0.6,50,0,2206405
10,9,0.6,50,0,2051150
10,9,0.6,50,0,2045493
10,9,0.6,50,0,2041162
10,10,0.6,50,0,2256133
10,10,0.6,50,0,2293707
10,10,0.6,50,0,2302716
10,10,0.6,50,0,2308583
10,10,0.6,50,0,2335122
10,10,0.6,50,0,2296291
10,10,0.6,50,0,2258996
10,10,0.6,50,0,2357052
10,10,0.6,50,0,2291821
10,10,0.6,50,0,2284977
10,11,0.6,50,0,3986435
10,11,0.6,50,0,3884397
10,11,0.6,50,0,3931610
10,11,0.6,50,0,3912124
10,11,0.6,50,0,3851502
10,11,0.6,50,0,3947254
10,11,0.6,50,0,3875457
10,11,0.6,50,0,3863864
10,11,0.6,50,0,3998028
10,11,0.6,50,0,3904442
10,12,0.6,50,0,4091894
10,12,0.6,50,0,4027989
10,12,0.6,50,0,4039653
10,12,0.6,50,0,4007457
10,12,0.6,50,0,4038745
10,12,0.6,50,0,4023170
10,12,0.6,50,0,4062840
10,12,0.6,50,0,4036859
10,12,0.6,50,0,4058580
10,12,0.6,50,0,4036510
10,13,0.6,50,0,3257996
10,13,0.6,50,0,3190391
