n,m,diff,ns
71,84,35,22488
71,84,35,22419
71,84,35,22558
71,84,35,22419
71,84,35,22559
71,84,35,29123
71,84,35,22699
71,84,35,22488
71,84,35,22558
71,84,35,22489
71,84,35,22349
71,84,35,22559
71,84,35,22070
71,84,35,22559
71,84,35,22279
71,84,35,22628
71,84,35,22559
71,84,35,22628
71,84,35,22629
71,84,35,22768
71,84,35,22559
71,84,35,22419
71,84,35,22489
71,84,35,22489
71,84,35,22489
71,84,35,22559
71,84,35,22419
71,84,35,22489
71,84,35,22489
71,84,35,22140
71,84,35,22488
71,84,35,22419
71,84,35,22419
71,84,35,22489
71,84,35,22489
71,84,35,22279
71,84,35,22140
71,84,35,22349
71,84,35,22768
71,84,35,22838
71,84,35,22629
71,84,35,22489
71,84,35,22489
71,84,35,22419
71,84,35,22768
71,84,35,22489
71,84,35,22489
71,84,35,22489
71,84,35,22419
71,84,35,22628
71,84,35,22419
71,84,35,22559
71,84,35,22349
71,84,35,22698
71,84,35,22419
71,84,35,22000
71,84,35,22140
71,84,35,22419
79,92,41,24025
79,92,41,32616
79,92,41,23956
79,92,41,41974
79,92,41,40857
79,92,41,24095
79,92,41,23187
79,92,41,23676
79,92,41,23746
79,92,41,23676
79,92,41,23746
79,92,41,23746
79,92,41,23885
79,92,41,24095
79,92,41,23746
79,92,41,23816
79,92,41,23815
79,92,41,23746
79,92,41,23746
79,92,41,24095
79,92,41,23816
79,92,41,23676
79,92,41,23746
79,92,41,23746
79,92,41,23606
79,92,41,23746
79,92,41,24164
79,92,41,24025
79,92,41,23746
79,92,41,23816
79,92,41,23676
79,92,41,23746
79,92,41,23676
79,92,41,23187
79,92,41,23746
79,92,41,23606
79,92,41,23885
79,92,41,23746
79,92,41,23886
79,92,41,23746
79,92,41,23816
79,92,41,24025
79,92,41,23886
79,92,41,23956
79,92,41,23676
79,92,41,23606
79,92,41,24025
79,92,41,23607
79,92,41,23816
79,92,41,23816
79,92,41,23676
79,92,41,24026
79,92,41,23606
79,92,41,23745
79,92,41,23816
79,92,41,23886
79,92,41,23606
79,92,41,23746
79,92,41,23885
79,92,41,23746
79,92,41,23117
79,92,41,23956
79,92,41,23886
79,92,41,23327
79,92,41,23816
79,92,41,24025
79,92,41,23885
79,92,41,23676
79,92,41,23816
79,92,41,23676
79,92,41,23746
79,92,41,23816
79,92,41,23746
79,92,41,23745
79,92,41,23746
79,92,41,23606
79,92,41,23676
