n,m,p,it,diff
110,1899,0.1,44,7
110,1899,0.1,45,0
110,1899,0.1,46,0
110,1899,0.1,47,0
110,1899,0.1,48,0
110,1899,0.1,49,0
110,1899,0.1,50,0
110,1899,0.2,1,48
110,1899,0.2,2,7
110,1899,0.2,3,38
110,1899,0.2,4,2
110,1899,0.2,5,38
110,1899,0.2,6,40
110,1899,0.2,7,38
110,1899,0.2,8,22
110,1899,0.2,9,7
110,1899,0.2,10,30
110,1899,0.2,11,2
110,1899,0.2,12,2
110,1899,0.2,13,7
110,1899,0.2,14,7
110,1899,0.2,15,0
110,1899,0.2,16,7
110,1899,0.2,17,36
110,1899,0.2,18,7
110,1899,0.2,19,0
110,1899,0.2,20,30
110,1899,0.2,21,0
110,1899,0.2,22,7
110,1899,0.2,23,0
110,1899,0.2,24,30
110,1899,0.2,25,0
110,1899,0.2,26,0
110,1899,0.2,27,0
110,1899,0.2,28,0
110,1899,0.2,29,0
110,1899,0.2,30,0
110,1899,0.2,31,0
110,1899,0.2,32,0
110,1899,0.2,33,7
110,1899,0.2,34,7
110,1899,0.2,35,0
110,1899,0.2,36,0
110,1899,0.2,37,0
110,1899,0.2,38,0
110,1899,0.2,39,0
110,1899,0.2,40,0
110,1899,0.2,41,0
110,1899,0.2,42,0
110,1899,0.2,43,7
110,1899,0.2,44,7
110,1899,0.2,45,0
110,1899,0.2,46,0
110,1899,0.2,47,7
110,1899,0.2,48,0
110,1899,0.2,49,0
110,1899,0.2,50,0
110,1899,0.3,1,77
110,1899,0.3,2,41
110,1899,0.3,3,23
110,1899,0.3,4,7
110,1899,0.3,5,0
110,1899,0.3,6,30
110,1899,0.3,7,25
110,1899,0.3,8,22
110,1899,0.3,9,10
110,1899,0.3,10,35
